orderid,warehouse,store,city,state,category,product,order_date,units_sold,unit_price,total_amount
ORD513790,Coca-Cola Bottling Company United,Publix,Houston,Texas,Soft Drinks,Sprite,2023-11-08,246,1.09,268.14
ORD523079,Reyes Coca-Cola Bottling,7-Eleven,Denver,Colorado,Soft Drinks,Coca-Cola Classic,2023-03-02,156,1.17,182.52
ORD915919,Reyes Coca-Cola Bottling,Publix,Los Angeles,California,Soft Drinks,Coca-Cola Classic,2023-09-16,157,1.25,196.25
ORD589914,Coca-Cola Beverages Florida,CVS,New York,New York,Water,Aquafina,2023-10-03,402,1.51,607.02
ORD463505,Coca-Cola Bottling Company United,7-Eleven,Houston,Texas,Water,Dasani,2023-04-02,586,3.1,1816.6
ORD975283,Coca-Cola Beverages Florida,CVS,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-01,920,3.21,2953.2
ORD722949,Coca-Cola Bottling Company United,Target,Houston,Texas,Water,Aquafina,2023-08-10,320,3.41,1091.2
ORD921099,Coca-Cola Beverages Florida,Costco,Denver,Colorado,Soft Drinks,Coca-Cola Classic,2023-04-06,170,3.14,533.8
ORD181057,Coca-Cola Bottling Co. Consolidated,CVS,New York,New York,Soft Drinks,Diet Coke,2023-06-26,609,1.49,907.41
ORD179506,Swire Coca-Cola,Walmart,Miami,Florida,Alcoholic Beverages,Jack & Coke,2023-12-01,944,1.55,1463.2
ORD141896,Swire Coca-Cola,Safeway,Chicago,Illinois,Soft Drinks,Coca-Cola Classic,2023-08-13,579,1.06,613.74
ORD632905,Coca-Cola Beverages Florida,Walgreens,Denver,Colorado,Water,Dasani,2023-11-16,760,2.05,1558.0
ORD360194,Coca-Cola Bottling Co. Consolidated,Target,Miami,Florida,Soft Drinks,Diet Coke,2023-05-19,761,2.91,2214.51
ORD113861,Coca-Cola Bottling Co. Consolidated,Target,Seattle,Washington,Soft Drinks,Sprite,2023-08-02,959,1.04,997.36
ORD951562,Swire Coca-Cola,Safeway,Phoenix,Arizona,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-07,401,2.92,1170.92
ORD450689,Coca-Cola Bottling Co. Consolidated,Publix,Atlanta,Georgia,Water,Aquafina,2023-07-19,933,2.73,2547.09
ORD736402,Coca-Cola Beverages Florida,Costco,Boston,Massachusetts,Alcoholic Beverages,Jack & Coke,2023-05-23,602,3.22,1938.44
ORD522983,Swire Coca-Cola,Safeway,Miami,Florida,Soft Drinks,Coca-Cola Classic,2023-04-12,311,3.09,960.99
ORD447110,Swire Coca-Cola,Target,Phoenix,Arizona,Water,Smartwater,2023-08-21,856,3.19,2730.64
ORD481007,Reyes Coca-Cola Bottling,CVS,Seattle,Washington,Water,Aquafina,2023-09-01,800,1.98,1584.0
ORD357278,Swire Coca-Cola,Walmart,New York,New York,Soft Drinks,Dr Pepper,2023-12-22,58,1.97,114.26
ORD540686,Coca-Cola Bottling Company United,7-Eleven,Boston,Massachusetts,Alcoholic Beverages,Simply Spiked Lemonade,2023-10-28,301,3.48,1047.48
ORD553768,Coca-Cola Bottling Company United,Walgreens,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-27,476,2.43,1156.68
ORD139375,Swire Coca-Cola,Publix,Boston,Massachusetts,Water,Dasani,2023-01-20,962,3.09,2972.58
ORD789622,Coca-Cola Bottling Company United,Sam's Club,Los Angeles,California,Water,Smartwater,2023-06-27,53,1.47,77.91
ORD264813,Swire Coca-Cola,Walgreens,Boston,Massachusetts,Water,Dasani,2023-07-05,288,2.72,783.36
ORD251378,Coca-Cola Bottling Co. Consolidated,Costco,Boston,Massachusetts,Alcoholic Beverages,Simply Spiked Lemonade,2023-03-25,794,3.04,2413.76
ORD574275,Swire Coca-Cola,Publix,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-03-11,844,1.02,860.88
ORD290887,Reyes Coca-Cola Bottling,Costco,Boston,Massachusetts,Soft Drinks,Coca-Cola Classic,2023-09-21,544,2.98,1621.12
ORD877099,Reyes Coca-Cola Bottling,Walmart,Los Angeles,California,Water,Smartwater,2023-04-09,392,3.26,1277.92
ORD756497,Coca-Cola Bottling Company United,Walgreens,New York,New York,Soft Drinks,Fanta,2023-06-10,61,1.35,82.35
ORD743179,Reyes Coca-Cola Bottling,Target,New York,New York,Water,Aquafina,2023-09-01,740,1.61,1191.4
ORD867587,Reyes Coca-Cola Bottling,Safeway,Chicago,Illinois,Soft Drinks,Diet Coke,2023-09-02,173,1.86,321.78
ORD561002,Coca-Cola Bottling Company United,7-Eleven,Los Angeles,California,Water,Smartwater,2023-12-21,494,3.31,1635.14
ORD980332,Swire Coca-Cola,Walgreens,Atlanta,Georgia,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-02,468,1.06,496.08
ORD841057,Coca-Cola Bottling Company United,7-Eleven,Denver,Colorado,Soft Drinks,Sprite,2023-12-20,924,3.5,3234.0
ORD769613,Reyes Coca-Cola Bottling,Publix,Phoenix,Arizona,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-08,878,2.98,2616.44
ORD281820,Reyes Coca-Cola Bottling,Walmart,Los Angeles,California,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-23,521,3.4,1771.4
ORD307395,Coca-Cola Bottling Co. Consolidated,Costco,New York,New York,Soft Drinks,Diet Coke,2023-09-24,498,3.28,1633.44
ORD237840,Reyes Coca-Cola Bottling,Safeway,Los Angeles,California,Alcoholic Beverages,Jack & Coke,2023-10-06,730,2.28,1664.4
ORD917623,Coca-Cola Beverages Florida,Sam's Club,Atlanta,Georgia,Soft Drinks,Coca-Cola Classic,2023-01-03,592,3.34,1977.28
ORD144628,Coca-Cola Bottling Company United,Publix,Houston,Texas,Soft Drinks,Dr Pepper,2023-08-14,285,1.83,521.55
ORD657499,Swire Coca-Cola,Costco,Los Angeles,California,Water,Aquafina,2023-02-25,207,1.18,244.26
ORD602020,Coca-Cola Bottling Company United,Walmart,Boston,Massachusetts,Soft Drinks,Diet Coke,2023-12-30,318,1.75,556.5
ORD792791,Swire Coca-Cola,Costco,Denver,Colorado,Alcoholic Beverages,Jack & Coke,2023-12-13,510,3.06,1560.6
ORD654246,Coca-Cola Bottling Company United,7-Eleven,Denver,Colorado,Alcoholic Beverages,Jack & Coke,2023-07-23,831,3.47,2883.57
ORD541121,Coca-Cola Bottling Company United,Publix,Seattle,Washington,Soft Drinks,Dr Pepper,2023-01-19,551,1.79,986.29
ORD408808,Reyes Coca-Cola Bottling,Walgreens,Houston,Texas,Soft Drinks,Sprite,2023-06-06,67,1.02,68.34
ORD783866,Coca-Cola Bottling Company United,Walgreens,Boston,Massachusetts,Soft Drinks,Diet Coke,2023-07-26,67,1.39,93.13
ORD591742,Coca-Cola Beverages Florida,Publix,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-25,67,2.06,138.02
ORD891326,Coca-Cola Bottling Co. Consolidated,CVS,Chicago,Illinois,Water,Dasani,2023-02-23,492,1.66,816.72
ORD317334,Coca-Cola Bottling Co. Consolidated,Walgreens,Atlanta,Georgia,Alcoholic Beverages,Simply Spiked Lemonade,2023-11-22,945,1.97,1861.65
ORD581176,Coca-Cola Bottling Co. Consolidated,Publix,Houston,Texas,Soft Drinks,Sprite,2023-01-06,974,2.71,2639.54
ORD432998,Coca-Cola Bottling Company United,7-Eleven,Denver,Colorado,Alcoholic Beverages,Jack & Coke,2023-05-23,334,1.32,440.88
ORD237463,Reyes Coca-Cola Bottling,Target,Atlanta,Georgia,Water,Smartwater,2023-01-25,974,2.67,2600.58
ORD665477,Coca-Cola Bottling Company United,Safeway,New York,New York,Water,Smartwater,2023-01-28,564,3.21,1810.44
ORD779855,Coca-Cola Bottling Co. Consolidated,CVS,New York,New York,Water,Aquafina,2023-02-24,839,1.1,922.9
ORD740871,Reyes Coca-Cola Bottling,Walgreens,Houston,Texas,Soft Drinks,Sprite,2023-05-09,590,2.62,1545.8
ORD902531,Coca-Cola Bottling Co. Consolidated,Target,Houston,Texas,Soft Drinks,Dr Pepper,2023-12-12,480,3.24,1555.2
ORD582301,Coca-Cola Bottling Co. Consolidated,Safeway,Atlanta,Georgia,Alcoholic Beverages,Simply Spiked Lemonade,2023-03-24,498,2.04,1015.92
ORD810038,Reyes Coca-Cola Bottling,Walmart,Los Angeles,California,Soft Drinks,Diet Coke,2023-05-10,543,2.07,1124.01
ORD107987,Coca-Cola Beverages Florida,Publix,Seattle,Washington,Water,Dasani,2023-11-12,506,1.34,678.04
ORD888896,Coca-Cola Bottling Co. Consolidated,Costco,Denver,Colorado,Soft Drinks,Fanta,2023-05-28,496,1.91,947.36
ORD627523,Coca-Cola Beverages Florida,Publix,Houston,Texas,Water,Smartwater,2023-01-05,368,1.8,662.4
ORD598806,Coca-Cola Bottling Co. Consolidated,7-Eleven,Atlanta,Georgia,Alcoholic Beverages,Jack & Coke,2023-09-05,739,2.64,1950.96
ORD111965,Coca-Cola Beverages Florida,Kroger,Seattle,Washington,Soft Drinks,Sprite,2023-01-17,977,2.69,2628.13
ORD496273,Coca-Cola Bottling Company United,Costco,Phoenix,Arizona,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-13,488,1.46,712.48
ORD448861,Coca-Cola Beverages Florida,Safeway,Seattle,Washington,Soft Drinks,Sprite,2023-08-17,384,1.16,445.44
ORD855458,Reyes Coca-Cola Bottling,Safeway,Los Angeles,California,Alcoholic Beverages,Jack & Coke,2023-11-10,57,1.45,82.65
ORD228225,Swire Coca-Cola,Sam's Club,Los Angeles,California,Soft Drinks,Fanta,2023-01-02,769,3.48,2676.12
ORD810134,Coca-Cola Beverages Florida,Kroger,Los Angeles,California,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-25,786,3.26,2562.36
ORD362748,Coca-Cola Bottling Co. Consolidated,Safeway,Houston,Texas,Soft Drinks,Coca-Cola Classic,2023-07-16,407,1.25,508.75
ORD284108,Coca-Cola Bottling Company United,7-Eleven,Phoenix,Arizona,Soft Drinks,Sprite,2023-02-20,722,1.15,830.3
ORD568034,Swire Coca-Cola,7-Eleven,Boston,Massachusetts,Soft Drinks,Dr Pepper,2023-08-22,652,1.55,1010.6
ORD820981,Swire Coca-Cola,Costco,Houston,Texas,Water,Aquafina,2023-09-22,97,1.51,146.47
ORD952411,Coca-Cola Bottling Company United,Safeway,Los Angeles,California,Water,Aquafina,2023-08-08,501,2.39,1197.39
ORD933546,Coca-Cola Bottling Co. Consolidated,CVS,New York,New York,Water,Dasani,2023-07-10,588,2.8,1646.4
ORD448002,Coca-Cola Bottling Co. Consolidated,Walgreens,Boston,Massachusetts,Soft Drinks,Fanta,2023-08-13,268,2.9,777.2
ORD821055,Swire Coca-Cola,Safeway,Atlanta,Georgia,Water,Dasani,2023-08-27,234,1.64,383.76
ORD175346,Coca-Cola Beverages Florida,Walgreens,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-11-22,745,1.88,1400.6
ORD806346,Reyes Coca-Cola Bottling,7-Eleven,Los Angeles,California,Soft Drinks,Diet Coke,2023-09-13,378,1.86,703.08
ORD457350,Swire Coca-Cola,7-Eleven,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-05,161,2.22,357.42
ORD241635,Swire Coca-Cola,Target,New York,New York,Soft Drinks,Sprite,2023-10-22,621,3.3,2049.3
ORD545783,Reyes Coca-Cola Bottling,Costco,Los Angeles,California,Soft Drinks,Dr Pepper,2023-01-24,997,1.81,1804.57
ORD569841,Coca-Cola Bottling Company United,7-Eleven,Los Angeles,California,Soft Drinks,Fanta,2023-04-15,965,1.54,1486.1
ORD203429,Coca-Cola Bottling Co. Consolidated,Publix,Houston,Texas,Soft Drinks,Diet Coke,2023-08-07,695,1.24,861.8
ORD616142,Swire Coca-Cola,Walgreens,New York,New York,Water,Dasani,2023-03-16,437,1.02,445.74
ORD591933,Reyes Coca-Cola Bottling,7-Eleven,Houston,Texas,Water,Dasani,2023-05-15,356,1.92,683.52
ORD378047,Coca-Cola Beverages Florida,Target,New York,New York,Soft Drinks,Diet Coke,2023-07-16,358,2.09,748.22
ORD878060,Coca-Cola Bottling Company United,Target,Seattle,Washington,Soft Drinks,Coca-Cola Classic,2023-03-24,416,2.23,927.68
ORD185529,Reyes Coca-Cola Bottling,Walmart,Denver,Colorado,Soft Drinks,Dr Pepper,2023-03-07,930,2.76,2566.8
ORD491221,Coca-Cola Beverages Florida,Safeway,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-05,310,2.01,623.1
ORD429230,Swire Coca-Cola,Sam's Club,Miami,Florida,Water,Dasani,2023-10-23,487,2.81,1368.47
ORD475290,Coca-Cola Bottling Company United,7-Eleven,Boston,Massachusetts,Water,Aquafina,2023-02-19,817,1.29,1053.93
ORD463505,Coca-Cola Bottling Co. Consolidated,Publix,Atlanta,Georgia,Soft Drinks,Diet Coke,2023-12-18,611,1.67,1020.37
ORD295493,Coca-Cola Bottling Co. Consolidated,Kroger,Los Angeles,California,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-12,89,2.37,210.93
ORD898452,Swire Coca-Cola,Costco,Boston,Massachusetts,Soft Drinks,Coca-Cola Classic,2023-04-30,352,3.27,1151.04
ORD922373,Coca-Cola Beverages Florida,Target,Miami,Florida,Alcoholic Beverages,Simply Spiked Lemonade,2023-08-20,413,2.84,1172.92
ORD463197,Coca-Cola Beverages Florida,7-Eleven,Chicago,Illinois,Water,Smartwater,2023-08-21,693,2.11,1462.23
ORD358361,Coca-Cola Beverages Florida,Publix,Chicago,Illinois,Soft Drinks,Fanta,2023-01-15,880,1.84,1619.2
ORD692280,Coca-Cola Bottling Co. Consolidated,Walmart,Chicago,Illinois,Alcoholic Beverages,Jack & Coke,2023-07-08,578,1.62,936.36
ORD774849,Swire Coca-Cola,Target,Seattle,Washington,Soft Drinks,Dr Pepper,2023-05-21,938,2.65,2485.7
ORD211205,Reyes Coca-Cola Bottling,Walgreens,Boston,Massachusetts,Soft Drinks,Coca-Cola Classic,2023-06-03,331,3.28,1085.68
ORD148507,Coca-Cola Bottling Co. Consolidated,Walmart,Seattle,Washington,Water,Aquafina,2023-04-11,230,2.03,466.9
ORD708594,Coca-Cola Beverages Florida,Walmart,Houston,Texas,Soft Drinks,Dr Pepper,2023-02-18,185,1.9,351.5
ORD470739,Coca-Cola Bottling Company United,Sam's Club,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-02,465,1.13,525.45
ORD418744,Swire Coca-Cola,Kroger,Denver,Colorado,Water,Smartwater,2023-05-18,610,1.1,671.0
ORD863512,Coca-Cola Bottling Company United,Sam's Club,Phoenix,Arizona,Water,Dasani,2023-10-08,817,2.69,2197.73
ORD241587,Coca-Cola Bottling Company United,Safeway,Phoenix,Arizona,Alcoholic Beverages,Jack & Coke,2023-05-19,292,1.0,292.0
ORD568605,Coca-Cola Beverages Florida,Walgreens,Atlanta,Georgia,Soft Drinks,Dr Pepper,2023-04-14,269,1.02,274.38
ORD785582,Coca-Cola Beverages Florida,Sam's Club,Houston,Texas,Alcoholic Beverages,Jack & Coke,2023-01-22,854,1.97,1682.38
ORD874001,Coca-Cola Bottling Company United,Sam's Club,Denver,Colorado,Water,Smartwater,2023-01-21,394,1.14,449.16
ORD569795,Swire Coca-Cola,Sam's Club,Chicago,Illinois,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-29,594,1.68,997.92
ORD546875,Coca-Cola Beverages Florida,Walgreens,Denver,Colorado,Soft Drinks,Fanta,2023-01-20,254,2.86,726.44
ORD198322,Coca-Cola Beverages Florida,Publix,Seattle,Washington,Water,Smartwater,2023-04-15,881,1.61,1418.41
ORD221804,Reyes Coca-Cola Bottling,Publix,Phoenix,Arizona,Soft Drinks,Dr Pepper,2023-04-12,778,2.56,1991.68
ORD675699,Coca-Cola Beverages Florida,CVS,New York,New York,Soft Drinks,Coca-Cola Classic,2023-08-04,498,2.07,1030.86
ORD291234,Coca-Cola Bottling Company United,Kroger,Houston,Texas,Alcoholic Beverages,Simply Spiked Lemonade,2023-02-04,610,3.09,1884.9
ORD143312,Coca-Cola Bottling Company United,Walgreens,Atlanta,Georgia,Soft Drinks,Sprite,2023-07-03,645,1.36,877.2
ORD114196,Coca-Cola Bottling Company United,Walgreens,New York,New York,Alcoholic Beverages,Jack & Coke,2023-05-20,563,1.38,776.94
ORD981046,Reyes Coca-Cola Bottling,Safeway,Denver,Colorado,Soft Drinks,Diet Coke,2023-03-28,549,2.38,1306.62
ORD921323,Coca-Cola Beverages Florida,Sam's Club,Seattle,Washington,Soft Drinks,Sprite,2023-09-18,908,1.84,1670.72
ORD374777,Coca-Cola Bottling Company United,Publix,Phoenix,Arizona,Soft Drinks,Sprite,2023-06-16,940,2.98,2801.2
ORD675941,Swire Coca-Cola,Sam's Club,Seattle,Washington,Soft Drinks,Sprite,2023-01-26,939,2.99,2807.61
ORD557525,Coca-Cola Bottling Company United,Target,Houston,Texas,Water,Aquafina,2023-10-20,64,2.45,156.8
ORD148696,Coca-Cola Bottling Co. Consolidated,Kroger,Los Angeles,California,Water,Dasani,2023-04-14,586,1.22,714.92
ORD658065,Coca-Cola Beverages Florida,Publix,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-02,434,2.32,1006.88
ORD801007,Swire Coca-Cola,Kroger,Los Angeles,California,Water,Dasani,2023-12-16,57,2.32,132.24
ORD757480,Reyes Coca-Cola Bottling,CVS,Seattle,Washington,Water,Aquafina,2023-03-15,845,1.34,1132.3
ORD631834,Swire Coca-Cola,Costco,Houston,Texas,Water,Aquafina,2023-11-03,659,1.15,757.85
ORD780538,Coca-Cola Beverages Florida,CVS,New York,New York,Water,Aquafina,2024-01-01,788,1.08,851.04
ORD950465,Coca-Cola Beverages Florida,Costco,New York,New York,Water,Aquafina,2023-12-05,73,1.91,139.43
ORD650574,Swire Coca-Cola,Sam's Club,Phoenix,Arizona,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-19,643,3.13,2012.59
ORD928319,Swire Coca-Cola,Costco,Miami,Florida,Soft Drinks,Coca-Cola Classic,2023-04-22,217,1.34,290.78
ORD306907,Reyes Coca-Cola Bottling,Safeway,Atlanta,Georgia,Soft Drinks,Fanta,2023-12-21,863,1.95,1682.85
ORD488427,Reyes Coca-Cola Bottling,Target,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-23,821,2.91,2389.11
ORD720953,Coca-Cola Beverages Florida,Safeway,Miami,Florida,Soft Drinks,Diet Coke,2023-09-13,827,2.82,2332.14
ORD360128,Coca-Cola Beverages Florida,Walmart,Atlanta,Georgia,Soft Drinks,Diet Coke,2023-08-20,599,1.36,814.64
ORD468344,Reyes Coca-Cola Bottling,Sam's Club,Miami,Florida,Water,Smartwater,2023-07-22,223,1.0,223.0
ORD793364,Coca-Cola Bottling Co. Consolidated,CVS,Houston,Texas,Soft Drinks,Dr Pepper,2023-07-21,334,1.1,367.4
ORD801424,Reyes Coca-Cola Bottling,CVS,Houston,Texas,Water,Aquafina,2023-08-31,703,1.54,1082.62
ORD614284,Swire Coca-Cola,Safeway,Seattle,Washington,Alcoholic Beverages,Jack & Coke,2023-02-13,657,3.47,2279.79
ORD978007,Reyes Coca-Cola Bottling,Sam's Club,Atlanta,Georgia,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-14,787,2.11,1660.57
ORD426690,Coca-Cola Bottling Company United,Safeway,Denver,Colorado,Soft Drinks,Dr Pepper,2023-04-24,442,1.53,676.26
ORD466032,Reyes Coca-Cola Bottling,Kroger,Seattle,Washington,Soft Drinks,Dr Pepper,2023-06-11,447,2.34,1045.98
ORD640839,Coca-Cola Beverages Florida,Walmart,Chicago,Illinois,Soft Drinks,Fanta,2023-02-24,874,2.32,2027.68
ORD650717,Swire Coca-Cola,Sam's Club,Houston,Texas,Soft Drinks,Sprite,2023-07-20,525,1.53,803.25
ORD154009,Coca-Cola Bottling Co. Consolidated,Walgreens,New York,New York,Soft Drinks,Dr Pepper,2023-02-23,629,3.29,2069.41
ORD584213,Swire Coca-Cola,CVS,Boston,Massachusetts,Water,Smartwater,2023-09-13,661,1.08,713.88
ORD439316,Coca-Cola Bottling Co. Consolidated,Safeway,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-31,858,3.23,2771.34
ORD154078,Coca-Cola Bottling Co. Consolidated,Walmart,Boston,Massachusetts,Alcoholic Beverages,Jack & Coke,2023-09-27,361,1.35,487.35
ORD234584,Coca-Cola Bottling Company United,Safeway,Los Angeles,California,Water,Smartwater,2023-12-21,674,1.38,930.12
ORD762350,Reyes Coca-Cola Bottling,Walgreens,Denver,Colorado,Water,Smartwater,2023-08-08,952,3.33,3170.16
ORD998254,Coca-Cola Beverages Florida,Walmart,Miami,Florida,Alcoholic Beverages,Jack & Coke,2023-05-16,654,3.35,2190.9
ORD116755,Coca-Cola Bottling Co. Consolidated,CVS,Phoenix,Arizona,Water,Aquafina,2023-09-05,105,1.01,106.05
ORD732203,Reyes Coca-Cola Bottling,Safeway,Seattle,Washington,Soft Drinks,Diet Coke,2023-06-28,579,3.08,1783.32
ORD796204,Swire Coca-Cola,Safeway,Miami,Florida,Alcoholic Beverages,Jack & Coke,2023-10-31,685,1.61,1102.85
ORD322612,Coca-Cola Bottling Co. Consolidated,Sam's Club,Atlanta,Georgia,Soft Drinks,Dr Pepper,2023-10-29,351,1.73,607.23
ORD781448,Coca-Cola Bottling Co. Consolidated,Costco,Los Angeles,California,Soft Drinks,Sprite,2023-01-11,86,2.95,253.7
